,Polarity,Sensitivity,Tweet_vol,Open,High,Low,Close_Price,Volume_BTC,Volume_Dollar
2018-07-19 19:00:00,0.1210115284698599,0.24465498913033357,5516.0,7421.89,7450.0,7406.46,7420.81,248.57,1847374.31
2018-07-19 20:00:00,0.1276956124254345,0.262048095193835,5346.0,7424.43,7488.0,7415.0,7448.08,335.15,2499285.31
2018-07-19 21:00:00,0.11627265435113147,0.24421462507996994,4842.0,7448.08,7481.02,7414.66,7416.59,341.19,2541848.79
2018-07-19 22:00:00,0.12117015923875832,0.23701036943747997,4596.0,7421.22,7460.2,7420.22,7436.93,45.09,335446.22
2018-07-19 23:00:00,0.07876497845663567,0.23165228792384274,4187.0,7436.93,7570.9,7433.99,7479.61,793.46,5947075.84
2018-07-20 00:00:00,0.08728006645427418,0.22090283539395325,4039.0,7485.18,7510.43,7431.1,7471.42,288.01,2150833.25
2018-07-20 01:00:00,0.1151667496117335,0.2221229195530496,4113.0,7474.35,7475.99,7367.09,7409.27,395.84,2932585.49
2018-07-20 02:00:00,0.1042501258281942,0.22724961815376837,3795.0,7409.62,7456.04,7389.34,7454.99,193.28,1435525.58
2018-07-20 03:00:00,0.07460754622046319,0.21440884171861355,4032.0,7455.67,7471.23,7440.71,7453.99,165.44,1233432.4
2018-07-20 04:00:00,0.10379297861006795,0.2010940590435355,3820.0,7455.15,7467.35,7428.37,7464.99,188.45,1404045.57
2018-07-20 05:00:00,0.1057098208089635,0.2267083291375327,4181.0,7464.99,7466.48,7433.89,7446.46,133.83,996276.67
2018-07-20 06:00:00,0.10053325863541193,0.2178810853210972,3782.0,7446.46,7454.99,7398.94,7409.78,279.81,2077634.57
2018-07-20 07:00:00,0.08414827709682654,0.21499163800879542,4313.0,7409.78,7429.36,7338.91,7368.86,630.88,4659133.12
2018-07-20 08:00:00,0.09010914398328641,0.2053619272445821,5755.0,7366.46,7446.8,7340.56,7439.8,659.84,4872673.97
